,id,gender,age,topic,sign,grupo_edad,Freq,cluster,embd_x_coord,embd_y_coord,embd_z_coord
43,4269654,female,26,Accounting,Aquarius,B,2,0,202.1333096826929,40.63504127222181,0.12793160676501106
44,2559416,female,15,Student,Aquarius,A,62,1,-107.47731291261759,-149.5985267259582,-215.83383067345252
45,3931473,female,26,Science,Sagittarius,B,4,0,668.8481928464504,133.13859152100284,0.3515167101303484
46,3647746,male,39,Education,Virgo,C,32,2,-329.71023540635696,516.1127469602084,0.3366303344940615
47,3518852,female,15,indUnk,Aries,A,26,1,-107.58445035333867,-149.91127053311948,326.58510036463446
48,3413825,female,25,Student,Taurus,B,33,0,263.85997855102573,52.5181976768636,0.1667802876840189
49,4036299,male,23,Student,Sagittarius,B,10,0,263.85997855102477,52.518197676863025,0.1667802876854676
50,4118479,female,24,Banking,Libra,B,3,0,190.62040887195735,38.136238411452815,0.1176680804144774
51,3573986,female,14,indUnk,Leo,A,4,1,-107.58445035333844,-149.91127053311968,326.58510036463383
52,589736,male,35,Technology,Aries,C,2288,2,-336.7255470576486,527.4207592432313,0.3485239128272778
53,3367100,male,39,Communications-Media,Libra,C,47,2,-319.31438911101253,500.4540899297777,0.3443840834965213
54,3698079,female,14,indUnk,Aquarius,A,3,3,-265.85528277392746,-370.49886340255233,815.6805790040896
55,3297343,female,23,indUnk,Sagittarius,B,3,0,455.6483775424987,90.92799974367476,0.3873104160168384
56,3835942,male,25,indUnk,Taurus,B,7,0,455.6483775424972,90.92799974367556,0.3873104160185053
57,3483063,female,16,indUnk,Sagittarius,A,1,3,-329.6798930920117,-458.2627286761097,809.6102050818606
58,3887270,female,17,Student,Leo,A,37,4,-406.17136000391713,-564.401402260072,-709.0823237539468
59,4179573,female,15,Student,Cancer,A,3,4,-406.17136000391406,-564.4014022600697,-709.082323753944
60,4116577,female,36,Student,Gemini,C,1,2,-308.5315142712748,483.61832462381744,0.3346320206092296
61,3821963,female,15,Student,Leo,A,17,4,-406.1713600039147,-564.4014022600682,-709.0823237539443
62,3543234,male,14,indUnk,Scorpio,A,41,3,-322.3656572043569,-448.1983854486156,810.1777142700327
63,3670806,male,14,Student,Pisces,A,6,4,-389.9426564948596,-542.1495482325772,-707.4367534117451
64,1330888,female,36,indUnk,Pisces,C,59,2,-426.3599073660573,668.4862213004974,0.4775494143376228
65,3842905,female,24,indUnk,Aries,B,13,0,455.6483775424999,90.92799974367566,0.38731041601335275
66,3384037,female,17,Student,Scorpio,A,7,4,-344.46057667840034,-479.56910535294105,-702.9885260749481
67,4158617,female,35,indUnk,Gemini,C,13,2,-433.70658127757855,679.9942712097098,0.48338360765754246
68,3936869,female,23,indUnk,Aries,B,10,0,455.6483775424986,90.92799974367648,0.3873104160159597
69,1357293,female,25,BusinessServices,Aries,B,22,0,192.0421652791086,38.607572382571696,0.11820173686999132
70,3316021,male,25,Arts,Aries,B,18,0,215.99985479843747,42.83158600531857,0.10099093887235941
71,3536864,male,14,Student,Leo,A,37,1,-107.47731291261755,-149.59852672595824,-215.83383067345358
72,4063217,female,33,Law,Leo,C,3,2,-315.83735827736905,495.08348969846764,0.34025172087608585
73,3912317,female,16,indUnk,Leo,A,16,3,-265.74214701314685,-370.3413863581354,815.6823505135817
74,4309190,male,46,Consulting,Gemini,C,7,2,-315.8563818489811,495.10875004935275,0.3404012953823724
75,467705,female,25,indUnk,Libra,B,29,0,455.6483775424986,90.92799974367614,0.3873104160163634
76,4187211,female,23,Student,Taurus,B,17,0,263.8599785510267,52.5181976768632,0.16678028768452025
77,3356291,male,24,BusinessServices,Leo,B,2,0,192.04216527910486,38.6075723825734,0.11820173687111064
78,766556,female,34,indUnk,Sagittarius,C,523,2,-416.7348518150109,653.321447357747,0.4651116051237889
79,2181683,male,15,Arts,Cancer,A,11,1,-114.02731898897785,-156.37301380305055,-10.337731658263646
80,4275715,female,34,indUnk,Virgo,C,2,2,-444.49667661629275,696.8755664457137,0.49434419151766334
81,3538434,female,25,Student,Leo,B,14,0,263.8599785510262,52.51819767686267,0.16678028768503997
82,4286349,male,25,Non-Profit,Capricorn,B,1,0,201.119700393816,40.76772210263423,0.11948471452904896
83,3466141,male,15,Student,Sagittarius,A,9,1,-107.3641772627367,-149.44104991752724,-215.8319009919076
84,4262796,male,17,indUnk,Aquarius,A,24,1,-107.58445035333874,-149.91127053312005,326.5851003646334
85,3373204,male,25,Technology,Aries,B,27,0,239.260126704887,47.34937794036075,0.11668608941605839
86,4222160,male,25,Technology,Aries,B,7,0,239.26012670488657,47.34937794036024,0.1166860894163325
87,4013263,female,23,Automotive,Aquarius,B,14,0,185.5533619443423,37.13000294103802,0.11613034656705785
88,3395106,female,14,indUnk,Cancer,A,4,3,-329.67989309200937,-458.2627286761067,809.6102050818574
89,3839094,female,16,Student,Libra,A,16,4,-406.1713600039139,-564.4014022600719,-709.0823237539435
90,4321554,male,33,Technology,Sagittarius,C,4,2,-344.0722272458534,538.9288132455131,0.3543580240525262
91,4071938,male,16,BusinessServices,Sagittarius,A,9,1,-170.40637138024644,-234.70834353053854,-17.300467151077477
92,1077954,male,26,indUnk,Gemini,B,44,0,521.271676317868,104.06718463417272,0.4260883351817605
93,4082066,female,42,Consulting,Leo,C,9,2,-315.8563818489789,495.1087500493537,0.3404012953819285
94,4276611,female,26,indUnk,Libra,B,9,0,764.4847243263024,152.4413680414223,0.5496734825099835
95,4143737,female,14,Student,Capricorn,A,2,4,-406.1713600039133,-564.4014022600737,-709.0823237539405
96,3566850,female,24,Religion,Capricorn,B,4,0,491.03809728165663,98.32650394575667,0.2743446824510173
97,1233335,male,25,BusinessServices,Sagittarius,B,32,0,491.25218494720735,98.19081103693236,0.27472993732597295
98,1103575,female,17,indUnk,Scorpio,A,541,3,-329.67989309201056,-458.2627286761068,809.6102050818617
99,3722833,male,15,Student,Libra,A,2,4,-406.1713600039142,-564.4014022600679,-709.0823237539457
100,3382251,male,26,indUnk,Sagittarius,B,5,0,758.413058538393,151.23556819502028,0.5461445529395142
101,2821801,female,27,indUnk,Taurus,B,605,0,811.4758972569791,161.544722620483,0.559501506538678
102,4181494,male,23,Education,Cancer,B,3,0,594.8016701983656,117.79131512067634,0.2842419162188709
103,3837231,female,13,indUnk,Libra,A,9,3,-280.3564277142142,-390.5430181471758,814.2064873513231
104,4228369,female,24,indUnk,Aries,B,7,0,868.1990411038389,172.7033552984497,0.5796004637612807
105,3839759,female,16,Student,Capricorn,A,4,4,-344.4605766784022,-479.5691053529444,-702.9885260749525
106,3416559,female,36,Internet,Aries,C,27,2,-315.7429111662084,494.83868498731397,0.33962246097774296
107,3305309,male,35,indUnk,Scorpio,C,4,2,-395.9779734995846,620.7809095797046,0.44378766548774506
108,3706985,male,16,Student,Cancer,A,2,4,-342.3468898795974,-476.6378335100679,-702.8991812416976
109,1708471,female,17,indUnk,Cancer,A,136,3,-265.8552827739276,-370.4988634025531,815.6805790040955
110,3998465,male,17,indUnk,Gemini,A,2,3,-265.8552827739283,-370.4988634025521,815.6805790040944
111,4216005,male,23,Consulting,Taurus,B,2,0,675.8910025384807,134.5624698382196,0.3568775587981694
112,3765885,female,24,Technology,Leo,B,18,0,673.985969857339,133.67355863141395,0.339833620730735
113,4226535,male,42,Religion,Aries,C,5,2,-326.6524480853744,512.0050332012154,0.3517239727795411
114,4023160,female,15,indUnk,Aquarius,A,11,3,-265.85528277392797,-370.49886340255307,815.680579004092
115,3817025,female,26,indUnk,Aquarius,B,11,0,947.0981541233939,188.4111452470255,0.6305942712463289
116,4192943,male,15,Sports-Recreation,Taurus,A,2,1,-108.50415924693446,-150.86226378569268,-10.515266074237882
117,883178,male,36,Fashion,Aries,C,1616,2,-339.5489581026327,532.1508337307681,0.36410199770508933
118,559410,female,38,Internet,Sagittarius,C,46,2,-339.5430156760018,532.1073476227397,0.3628945335162818
119,4174812,male,23,Student,Aries,B,2,0,674.3825282559094,133.88943781549975,0.3577217270500653
120,2635745,female,15,Student,Pisces,A,73,1,-107.36417726273643,-149.4410499175265,-215.83190099190756
121,4305651,male,24,Student,Gemini,B,2,0,674.3825282559126,133.88943781550165,0.3577217270483942
122,4088616,female,43,Arts,Aries,C,6,2,-388.9799734192455,608.8850574211447,0.39187049528677814
123,4175778,female,24,indUnk,Aries,B,4,0,949.1258940745566,188.81515921343754,0.6319257859565799
124,4108942,male,17,indUnk,Sagittarius,A,14,1,-107.58445035333895,-149.91127053311928,326.5851003646356
125,3502320,female,41,indUnk,Gemini,C,6,2,-457.3812517347202,717.0318593015163,0.507329774630821
126,3543191,male,14,Student,Libra,A,9,1,-107.36417726273635,-149.44104991752616,-215.83190099190807
127,4166613,male,17,indUnk,Libra,A,3,1,-107.5844503533384,-149.9112705331189,326.5851003646338
128,3370336,female,23,indUnk,Scorpio,B,3,0,949.1258940745555,188.81515921343652,0.6319257859583343
129,4160371,female,17,Student,Scorpio,A,3,1,-107.3641772627357,-149.44104991752698,-215.8319009919058
130,3907370,male,26,Sports-Recreation,Leo,B,3,0,676.0873081164083,134.418980175887,0.35685675810830236
131,3468570,male,17,Student,Cancer,A,26,1,-107.36417726273736,-149.4410499175272,-215.83190099190728
132,4187809,female,25,Communications-Media,Pisces,B,22,0,669.1851177137008,132.80407870153434,0.34831244797358046
133,3883829,female,35,Publishing,Scorpio,C,4,2,-339.5260190001658,532.160024111583,0.36487902601098726
134,3545557,female,16,indUnk,Sagittarius,A,3,1,-107.5844503533385,-149.9112705331194,326.58510036463326
135,4286351,male,16,indUnk,Gemini,A,13,1,-107.58445035333865,-149.9112705331198,326.5851003646342
136,3412421,male,23,Technology,Sagittarius,B,15,0,665.4280775148308,131.9734294849182,0.33536121055561163
137,4000416,male,26,Science,Scorpio,B,30,0,665.288879587939,132.44368458334367,0.35031962783314813
138,3050485,male,27,Education,Aries,B,13,0,636.055623675247,125.98320932672743,0.31312651012618337
139,3696098,female,17,Student,Aries,A,4,1,-107.36417726273625,-149.44104991752744,-215.83190099190816
140,3294430,male,26,Education,Libra,B,25,0,416.02358255062546,82.52782858488024,0.2109267126385657
141,3724380,female,27,Law,Pisces,B,8,0,368.98055570150206,74.21904348224221,0.22121408063174172
142,3885979,female,13,Student,Aquarius,A,30,4,-380.91947875109514,-529.831059229314,-706.793954215392
143,3345412,male,16,Student,Leo,A,3,4,-406.1713600039141,-564.4014022600707,-709.0823237539441
144,3511107,female,23,Education,Aries,B,4,0,462.03180033868745,91.69184463039,0.2367733133312027
145,3894385,male,16,indUnk,Taurus,A,13,3,-329.67989309200766,-458.26272867610464,809.6102050818578
146,3601456,female,26,indUnk,Pisces,B,18,0,688.4378172948086,137.50048204474214,0.5222981042122853
147,3972364,female,23,Education,Aquarius,B,2,0,460.78361753833894,91.44454339835625,0.23617315899364552
148,3869393,female,25,Technology,Sagittarius,B,58,0,258.8998080537301,51.26675231674119,0.1284269533334641
149,711096,male,24,indUnk,Libra,B,23,0,475.28813405921966,94.84541273045923,0.39905518929571576
150,3502235,male,15,Fashion,Taurus,A,6,1,-168.45219795088417,-232.6961556344907,-16.43260662294586
151,3688178,female,40,Internet,Aquarius,C,1,2,-327.67537499392245,513.4541959194869,0.3501302707574982
152,3717124,male,15,Student,Taurus,A,3,4,-406.17136000391315,-564.4014022600678,-709.082323753942
153,3034755,male,23,Internet,Aquarius,B,17,0,225.05431249506864,44.767743859498665,0.1347624842738701
154,1317518,female,23,Marketing,Leo,B,10,0,213.7120961014007,42.733608903986635,0.13062765625270045
155,3941452,female,14,Student,Taurus,A,11,4,-406.1713600039153,-564.401402260071,-709.082323753946
156,4076315,female,23,indUnk,Cancer,B,16,0,455.6483775424982,90.92799974367573,0.3873104160157825
157,3358564,female,34,Education,Scorpio,C,13,2,-360.7315645149454,564.6583264938987,0.36640942710711344
158,3337329,female,26,indUnk,Libra,B,1,0,455.64837754249777,90.92799974367692,0.3873104160157274
159,3765420,female,16,Education,Cancer,A,24,1,-167.6129052327877,-229.3679987595379,-14.31982872664234
160,4162814,male,14,Student,Cancer,A,9,4,-406.17136000391406,-564.4014022600708,-709.0823237539436
161,3525620,male,33,Non-Profit,Gemini,C,24,2,-327.58714519185264,513.3464684718566,0.34900075371560413
162,3627104,female,16,Student,Taurus,A,32,4,-406.1713600039127,-564.4014022600716,-709.0823237539433
163,3911396,male,16,Internet,Gemini,A,6,1,-147.45831680671859,-201.50461028288086,-14.692253380525848
164,3572471,male,25,Communications-Media,Pisces,B,15,0,214.39570052527506,42.59051048256879,0.12469337443619277
165,3176411,male,33,Engineering,Aries,C,8,2,-329.086136023226,515.7576424510883,0.3530887678270598
166,3754841,female,13,Student,Sagittarius,A,2,4,-381.4563973614373,-530.5299204243615,-706.6289834878839
167,2271105,male,17,Technology,Capricorn,A,12,1,-119.5083825889018,-159.88439435487143,-14.099210825163834
168,3567093,male,25,Accounting,Libra,B,2,0,189.5199408773,38.12685583440223,0.12079521769963081
169,4192173,male,27,Technology,Pisces,B,172,0,239.26012670488765,47.349377940359865,0.11668608941658799
170,1463590,female,24,Education,Capricorn,B,44,0,229.24318117545246,45.11980680784902,0.10181891391125028
171,2948997,female,17,Student,Sagittarius,A,41,4,-344.46057667839835,-479.5691053529449,-702.9885260749454
172,4256671,male,15,indUnk,Virgo,A,18,3,-267.968974710653,-373.4301447249589,815.5957437817551
173,3681917,male,15,Student,Leo,A,6,4,-344.4605766783984,-479.56910535294145,-702.9885260749516
174,3413775,male,17,indUnk,Scorpio,A,8,3,-267.968974710652,-373.43014472495804,815.5957437817495
175,4213302,female,16,Student,Cancer,A,1,4,-343.6781186343666,-478.4809180312289,-702.9762224875917
176,3477296,male,15,Student,Virgo,A,137,4,-343.6781186343657,-478.48091803122475,-702.976222487592
177,2581876,female,24,indUnk,Sagittarius,B,195,0,455.64837754249913,90.92799974367675,0.3873104160158727
178,3857088,male,37,LawEnforcement-Security,Aquarius,C,10,2,-331.53844982267043,519.5532740256996,0.35541026120083863
179,3749504,female,17,Student,Pisces,A,45,4,-342.3468898795977,-476.63783351006884,-702.8991812416956
180,3841325,male,36,indUnk,Taurus,C,5,2,-453.23455315115785,710.4984147442815,0.5028199234015984
181,3877002,female,25,Student,Pisces,B,8,0,263.85997855102687,52.51819767686302,0.1667802876830318
182,3928610,male,23,indUnk,Virgo,B,11,0,455.64837754249913,90.92799974367593,0.3873104160166138
183,3981555,male,17,Student,Capricorn,A,2,4,-342.3468898795994,-476.6378335100687,-702.8991812416996
184,4119859,female,14,Student,Cancer,A,10,4,-342.3468898795985,-476.6378335100667,-702.8991812417014
185,2102033,male,16,indUnk,Cancer,A,180,3,-265.8552827739293,-370.49886340255216,815.6805790040951
186,3922351,male,26,Technology,Scorpio,B,8,0,239.260126704888,47.3493779403607,0.11668608941620656
187,3869898,female,17,Student,Capricorn,A,9,1,-107.47731291261742,-149.5985267259582,-215.83383067345264
188,4201848,male,45,HumanResources,Aquarius,C,2,2,-331.5368228288007,519.5593653093114,0.3556132178981555
189,2844168,female,27,Marketing,Aquarius,B,146,0,194.07239681866477,38.81619843134186,0.11888480306246506
190,3545726,female,16,Student,Aquarius,A,7,1,-107.4773129126178,-149.5985267259582,-215.8338306734526
191,3433630,male,25,Technology,Pisces,B,2,0,239.26012670488814,47.3493779403604,0.11668608941655934
192,3806681,male,24,Telecommunications,Sagittarius,B,2,0,189.4397740862234,38.085748160831294,0.11660696079367712
193,3583915,male,37,BusinessServices,Sagittarius,C,4,2,-326.4148629290604,511.51637835746135,0.3497571198993423
194,4251420,male,16,indUnk,Pisces,A,1,3,-265.8552827739277,-370.49886340255296,815.6805790040903
195,2284644,male,26,Technology,Scorpio,B,33,0,239.26012670488734,47.3493779403596,0.11668608941631758
196,936098,male,17,Student,Gemini,A,10,1,-107.47731291261712,-149.59852672595804,-215.83383067345338
197,3059476,female,17,indUnk,Leo,A,55,3,-265.85528277392757,-370.4988634025518,815.6805790040909
198,3833251,male,14,indUnk,Virgo,A,3,3,-265.85528277392797,-370.49886340255097,815.6805790040954
199,4121120,male,17,Student,Sagittarius,A,5,1,-107.47731291261829,-149.59852672595824,-215.83383067345378
200,4204026,male,27,Education,Scorpio,B,2,0,229.2431811754512,45.11980680784908,0.10181891391148189
201,3828055,male,16,Student,Scorpio,A,12,1,-107.47731291261786,-149.5985267259583,-215.83383067345426
202,4157968,male,16,Student,Pisces,A,11,1,-107.4773129126172,-149.59852672595818,-215.83383067345292
203,3694096,female,23,Museums-Libraries,Leo,B,15,0,185.14498913109765,36.85737248183993,0.11437096360870937
204,3976976,female,17,Student,Taurus,A,33,1,-107.36417726273606,-149.4410499175269,-215.83190099190634
205,3291253,male,27,Education,Virgo,B,21,0,229.24318117545127,45.11980680784892,0.1018189139110904
206,3734462,female,23,Arts,Aries,B,8,0,215.9998547984368,42.83158600531836,0.10099093887208224
207,3485026,male,23,Student,Aries,B,8,0,263.85997855102875,52.518197676862215,0.16678028768413256
208,3552576,male,26,Technology,Libra,B,3,0,239.26012670488785,47.34937794036097,0.11668608941584457
209,3357167,male,24,indUnk,Aquarius,B,4,0,455.64837754249794,90.92799974367647,0.3873104160152982
210,4276559,female,15,Student,Virgo,A,4,1,-107.36417726273636,-149.4410499175273,-215.83190099190642
211,3932072,female,16,indUnk,Capricorn,A,60,1,-107.58445035333799,-149.91127053311922,326.58510036463207
212,4227384,female,33,Consulting,Aries,C,3,2,-339.5310359765738,532.1463202111286,0.36434728383948395
213,1705136,female,25,indUnk,Pisces,B,21,0,455.64837754249913,90.92799974367459,0.3873104160167239
214,3314576,female,25,Education,Taurus,B,14,0,229.24318117545155,45.11980680784903,0.10181891391109553
215,3759257,female,17,Student,Aquarius,A,9,1,-107.36417726273622,-149.44104991752582,-215.83190099190696
216,1393814,female,13,indUnk,Gemini,A,16,1,-107.58445035333828,-149.91127053311968,326.5851003646343
217,3756895,male,16,Student,Virgo,A,15,1,-107.36417726273687,-149.44104991752644,-215.83190099190833
218,4019147,female,23,Military,Cancer,B,11,0,189.16586671047696,37.64461517381281,0.1155094333473255
219,4311822,female,35,indUnk,Aquarius,C,3,2,-444.4966766162935,696.8755664457135,0.4943441915179705
220,3320151,male,16,Student,Capricorn,A,13,1,-107.36417726273534,-149.4410499175266,-215.83190099190716
221,3857692,male,33,indUnk,Leo,C,2,2,-457.3812517347194,717.0318593015144,0.5073297746324535
222,4062379,female,27,Government,Aquarius,B,4,0,195.94717799873987,39.572102419068045,0.11981739976408615
223,3970640,female,39,Education,Taurus,C,15,2,-360.73156451494805,564.6583264938984,0.3664094271072729
224,4245017,female,33,indUnk,Cancer,C,3,2,-457.3812517347199,717.0318593015146,0.5073297746340224
225,3876012,male,27,indUnk,Cancer,B,9,0,455.648377542499,90.92799974367563,0.3873104160150576
226,3414204,male,35,Internet,Capricorn,C,11,2,-339.54301567600106,532.1073476227423,0.3628945335166217
227,1429060,male,17,Student,Cancer,A,131,1,-107.36417726273604,-149.4410499175262,-215.8319009919079
228,3463044,female,37,indUnk,Pisces,C,4,2,-457.38125173472,717.0318593015168,0.5073297746345564
229,3579048,male,14,indUnk,Sagittarius,A,17,1,-107.58445035333827,-149.9112705331198,326.58510036463315
230,3535782,male,25,Banking,Capricorn,B,5,0,190.620408871958,38.13623841145326,0.11766808041417581
231,3712719,female,23,indUnk,Scorpio,B,45,0,455.64837754249885,90.92799974367661,0.38731041601726934
232,3377005,male,26,indUnk,Sagittarius,B,41,0,455.64837754249953,90.92799974367637,0.3873104160150474
233,491348,female,17,Student,Gemini,A,26,1,-107.3641772627352,-149.44104991752698,-215.83190099190597
234,3361107,male,35,Science,Virgo,C,4,2,-325.2502249701494,509.70568592700425,0.3486963048344048
235,3842156,female,26,Transportation,Scorpio,B,45,0,186.15527850748606,37.613886700631504,0.11479530133629218
236,3418356,male,23,Military,Scorpio,B,4,0,189.16586671047634,37.64461517381271,0.11550943334730818
237,1130595,male,16,indUnk,Sagittarius,A,36,3,-303.5928287922498,-422.52796144742695,811.9465594912783
238,3702123,male,26,Architecture,Cancer,B,39,0,186.95282614233352,37.40179376805671,0.11514456117994504
239,1209241,male,25,Government,Virgo,B,61,0,195.94717799874107,39.57210241906664,0.11981739976449592
240,3544723,female,25,indUnk,Sagittarius,B,12,0,455.64837754249686,90.92799974367766,0.38731041601905963
241,4052856,male,17,Non-Profit,Sagittarius,A,8,1,-169.88084126796826,-233.0221244432657,-15.58659812930974
242,873288,female,23,Arts,Capricorn,B,129,0,215.999854798436,42.83158600531888,0.10099093887240598
243,4177637,male,16,Student,Capricorn,A,8,4,-406.1713600039134,-564.4014022600735,-709.082323753942
244,3930078,female,23,indUnk,Cancer,B,4,0,455.6483775425,90.92799974367541,0.3873104160151548
245,4004267,male,33,LawEnforcement-Security,Taurus,C,35,2,-305.33753507201857,478.6946813742081,0.334408851258143
246,3205298,male,39,Internet,Aquarius,C,8,2,-339.5430156760021,532.1073476227397,0.3628945335169067
247,1781897,male,27,Technology,Virgo,B,119,0,239.26012670488788,47.349377940359986,0.11668608941591027
248,23191,female,23,Advertising,Taurus,B,5,0,192.31899580521676,38.85121783440971,0.11886081192534267
249,1472026,female,47,Arts,Sagittarius,C,8,2,-388.9799734192492,608.8850574211457,0.39187049528480344
250,2061087,female,33,indUnk,Cancer,C,174,2,-457.38125173472156,717.0318593015136,0.5073297746326793
251,2462841,male,17,Student,Cancer,A,26,4,-406.17136000391173,-564.4014022600692,-709.0823237539418
252,3626815,male,17,Student,Cancer,A,5,4,-406.1713600039149,-564.4014022600687,-709.0823237539464
253,4124979,male,41,Engineering,Gemini,C,26,2,-339.50477327251633,532.120858138794,0.3641428870442118
254,3849970,female,33,indUnk,Taurus,C,50,2,-478.66058203231006,750.0315883122814,0.5201627269308128
255,3350684,male,15,indUnk,Capricorn,A,24,3,-329.67989309200806,-458.26272867610624,809.6102050818552
256,3204689,male,23,Engineering,Aquarius,B,75,0,205.75405330880275,41.32065968900941,0.12376059312558708
257,4139321,male,26,indUnk,Pisces,B,7,0,455.64837754249845,90.92799974367608,0.38731041601746335
258,4216565,female,34,indUnk,Cancer,C,4,2,-478.6605820323091,750.0315883122807,0.5201627269313429
259,3080267,male,23,Engineering,Capricorn,B,82,0,205.75405330880275,41.32065968900931,0.12376059312558763
260,4091350,male,26,indUnk,Pisces,B,5,0,455.6483775424986,90.92799974367708,0.3873104160160036
261,2697034,female,23,BusinessServices,Cancer,B,42,0,192.04216527910785,38.60757238257245,0.11820173687027753
262,4282867,female,27,Military,Capricorn,B,3,0,189.16586671047517,37.644615173813136,0.11550943334749368
263,4009346,male,24,Non-Profit,Taurus,B,9,0,201.11970039381623,40.76772210263407,0.11948471452953417
264,4120089,female,36,Internet,Capricorn,C,14,2,-339.54301567600254,532.1073476227382,0.36289453351727946
265,3933663,female,27,Publishing,Scorpio,B,63,0,190.0895242133432,38.59945301094711,0.11758147309104552
266,870843,male,17,Student,Sagittarius,A,17,4,-397.50513254139577,-552.3808860781555,-708.3561303206532
267,2944118,male,17,indUnk,Gemini,A,83,3,-321.013655091356,-446.2421949398997,810.3236769449148
268,4284657,male,14,Student,Aquarius,A,2,4,-397.000804330141,-551.6804042896886,-708.3035408781028
269,3645035,male,15,Education,Virgo,A,10,1,-153.45881534874437,-209.9934335477568,-12.897777599349725
